context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0006629	lipid metabolic process	39	AT1G13560;AT1G28100;AT1G31190;AT1G36160;AT1G36180;AT1G43580;AT1G43620;AT1G50030;AT1G55180;AT1G56630;AT1G66120;AT1G66960;AT1G71697;AT1G79460;AT2G07050;AT2G22830;AT2G26560;AT2G43420;AT2G43900;AT3G09560;AT3G15730;AT3G16910;AT3G22960;AT3G29190;AT3G32030;AT3G43570;AT3G45140;AT4G00550;AT4G11840;AT4G14210;AT4G16070;AT4G27030;AT4G33030;AT5G13640;AT5G27450;AT5G42590;AT5G44585;AT5G52920;AT5G58700	87.605	8.700515789308088	0.4451800696307288	1.0	200	693	200	1.0
CG	gain	GO:0006631	fatty acid metabolic process	10	AT1G36160;AT1G36180;AT1G43580;AT1G66120;AT3G15730;AT3G16910;AT3G45140;AT4G27030;AT5G44585;AT5G52920	22.97	4.130266335237966	0.43535045711798	1.0	200	693	200	1.0
CG	gain	GO:0006633	fatty acid biosynthetic process	7	AT1G36160;AT1G36180;AT1G43580;AT3G45140;AT4G27030;AT5G44585;AT5G52920	13.915	3.36716126729921	0.5030542579949695	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0006637	acyl-CoA metabolic process	3	AT1G36160;AT1G36180;AT5G27450	4.92	2.0817300497422813	0.6097560975609756	0.8756218905472637	175	693	200	1.0
CG	gain	GO:0006644	phospholipid metabolic process	11	AT1G13560;AT1G31190;AT1G50030;AT1G55180;AT1G71697;AT2G43900;AT3G09560;AT3G15730;AT4G11840;AT4G27030;AT5G27450	26.045	5.228094777258721	0.42234593971971585	1.0	200	693	200	1.0
CG	gain	GO:0006650	glycerophospholipid metabolic process	9	AT1G13560;AT1G31190;AT1G50030;AT1G55180;AT1G71697;AT2G43900;AT3G15730;AT4G11840;AT4G27030	19.34	3.985523804972193	0.4653567735263702	1.0	200	693	200	1.0
CG	gain	GO:0006664	glycolipid metabolic process	3	AT3G09560;AT4G00550;AT4G33030	4.82	2.1207545826898495	0.6224066390041494	0.8905472636815921	178	693	200	1.0
CG	gain	GO:0006720	isoprenoid metabolic process	9	AT1G28100;AT1G66960;AT1G79460;AT2G07050;AT3G29190;AT3G32030;AT4G14210;AT5G27450;AT5G42590	18.335	4.036430973025545	0.4908644668666485	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0006721	terpenoid metabolic process	8	AT1G28100;AT1G66960;AT1G79460;AT2G07050;AT3G29190;AT3G32030;AT4G14210;AT5G42590	16.085	3.6983476039982963	0.4973577867578489	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0006722	triterpenoid metabolic process	3	AT1G66960;AT2G07050;AT5G42590	1.95	1.2678722333105967	1.5384615384615385	0.35323383084577115	70	693	200	1.0
CG	gain	GO:0006753	nucleoside phosphate metabolic process	13	AT1G20260;AT1G21640;AT1G36160;AT1G36180;AT2G28760;AT3G22960;AT3G27440;AT4G23895;AT5G27450;AT5G40870;AT5G47435;AT5G52920;AT5G61410	32.56	5.247513696980691	0.39926289926289926	1.0	200	693	200	1.0
CG	gain	GO:0006766	vitamin metabolic process	4	AT1G30520;AT1G74710;AT2G22450;AT2G46740	7.72	2.8198581524608644	0.5181347150259068	0.9601990049751243	192	693	200	1.0
CG	gain	GO:0006790	sulfur compound metabolic process	9	AT1G36160;AT1G36180;AT1G53580;AT3G62030;AT4G33030;AT5G05260;AT5G20980;AT5G27450;AT5G44585	26.475	5.187424698248636	0.33994334277620397	1.0	200	693	200	1.0
CG	gain	GO:0006793	phosphorus metabolic process	25	AT1G07110;AT1G13560;AT1G20260;AT1G21640;AT1G31190;AT1G36160;AT1G36180;AT1G50030;AT1G55180;AT1G71697;AT2G28760;AT2G43900;AT3G09560;AT3G15730;AT3G22960;AT3G27440;AT4G11840;AT4G23895;AT4G27030;AT5G27450;AT5G40870;AT5G47435;AT5G52920;AT5G58270;AT5G61410	62.735	7.663209184147339	0.3985016338566988	1.0	200	693	200	1.0
CG	gain	GO:0006796	phosphate-containing compound metabolic process	8	AT1G50030;AT1G65800;AT2G43900;AT3G45430;AT3G59410;AT3G59700;AT4G23250;AT5G60280	28.355	4.556201817303527	0.2821371892082525	1.0	200	693	200	1.0
